,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
10,frozenset({'DOTCOM POSTAGE'}),frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),0.03866935056679733,0.046774022671893206,0.011547833456933998,0.2986301369863014,6.3845297010502815,1.0,0.009739112376815233,1.3590917254873398,0.8772958528551179,0.15627240143369178,0.2642144888039677,0.27275787710017224
11,frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),frozenset({'DOTCOM POSTAGE'}),0.046774022671893206,0.03866935056679733,0.011547833456933998,0.24688561721404306,6.384529701050281,1.0,0.009739112376815233,1.2764736292473955,0.8847549395729192,0.15627240143369178,0.21659172811145608,0.27275787710017224
12,frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.046774022671893206,0.09741498040046614,0.011282974891407989,0.24122310305775765,2.4762423814705543,1.0,0.006726484389574553,1.1895262273229676,0.6254155105682722,0.0848943802311678,0.15932917069806615,0.1785234601748821
13,frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),0.09741498040046614,0.046774022671893206,0.011282974891407989,0.11582381729200654,2.4762423814705543,1.0,0.006726484389574553,1.078095062919058,0.6605054353351756,0.0848943802311678,0.07243801182764655,0.1785234601748821
14,frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.046774022671893206,0.0817353533213264,0.010965144612776777,0.23442808607021517,2.868135715381414,1.0,0.007142053343429854,1.199449235232646,0.6833022592158584,0.0932852636322668,0.16628401550813512,0.18429116552376607
15,frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),0.0817353533213264,0.046774022671893206,0.010965144612776777,0.13415424497731693,2.8681357153814147,1.0,0.007142053343429854,1.1009189244141233,0.7093178052834942,0.0932852636322668,0.0916678986763984,0.18429116552376607
16,frozenset({'VICTORIAN GLASS HANGING T-LIGHT'}),frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),0.041211992795847016,0.046774022671893206,0.010382455768619557,0.2519280205655527,5.3860670127253725,1.0,0.00845480508323271,1.2742436604145484,0.8493387078588341,0.13378839590443686,0.21522073755134782,0.23694928774597002
17,frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),frozenset({'VICTORIAN GLASS HANGING T-LIGHT'}),0.046774022671893206,0.041211992795847016,0.010382455768619557,0.22197055492638734,5.386067012725373,1.0,0.00845480508323271,1.2323286904821937,0.8542945602803501,0.13378839590443686,0.18852818430388618,0.23694928774597002
18,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),0.16972136878906663,0.046774022671893206,0.016103400783981352,0.09488139825218476,2.028506269767547,1.0,0.008164849632336803,1.0531503556411221,0.6106702014062847,0.0803595030399154,0.05046796533507886,0.21958112947716826
19,frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.046774022671893206,0.16972136878906663,0.016103400783981352,0.34428086070215175,2.028506269767547,1.0,0.008164849632336803,1.2662107622785044,0.5319057925447128,0.0803595030399154,0.21024206254531203,0.21958112947716826
20,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.07071723699544444,0.06849242504502595,0.012872126284564044,0.18202247191011237,2.6575562449490344,1.0,0.00802853123026223,1.1387936012498996,0.6711783321827215,0.10188679245283021,0.12187774948644306,0.1849787533564483
21,frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.06849242504502595,0.07071723699544444,0.012872126284564044,0.18793503480278426,2.6575562449490344,1.0,0.00802853123026223,1.1443453452998957,0.6695752903884835,0.10188679245283021,0.12613792321763445,0.1849787533564483
22,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'PAINTED METAL PEARS ASSORTED'}),0.07071723699544444,0.019334675283398665,0.014302362538404492,0.20224719101123595,10.46033553947976,1.0,0.012935067724158427,1.229284702813768,0.9732245213348787,0.1888111888111888,0.1865187960843792,0.47098660920424806
23,frozenset({'PAINTED METAL PEARS ASSORTED'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.019334675283398665,0.07071723699544444,0.014302362538404492,0.7397260273972602,10.46033553947976,1.0,0.012935067724158427,3.570402194701713,0.922231825083875,0.1888111888111888,0.71991950893265,0.47098660920424806
24,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.07071723699544444,0.09741498040046614,0.011177031465197584,0.15805243445692882,1.622465392973302,1.0,0.004288113209311245,1.0720204636702648,0.412849618256887,0.0712116098548768,0.0671819858957628,0.13639435208436435
25,frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.09741498040046614,0.07071723699544444,0.011177031465197584,0.1147362697117999,1.6224653929733022,1.0,0.004288113209311245,1.0497242021900355,0.4250613799566036,0.0712116098548768,0.047368825150735816,0.13639435208436435
26,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.07071723699544444,0.16972136878906663,0.02272486492213158,0.3213483146067415,1.893387479134228,1.0,0.010722638662283929,1.2234238108902824,0.50775297779801,0.10437956204379562,0.18262176107860575,0.22762172284644192
27,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.16972136878906663,0.07071723699544444,0.02272486492213158,0.13389513108614232,1.893387479134228,1.0,0.010722638662283929,1.0729448550149896,0.5682984872725845,0.10437956204379562,0.06798565152164365,0.22762172284644192
28,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'ZINC METAL HEART DECORATION'}),0.07071723699544444,0.04587350354910478,0.010329484055514355,0.14606741573033707,3.1841347276643224,1.0,0.007085436633220951,1.117332344528022,0.738142322819972,0.09720837487537388,0.10501114113687006,0.18562031294599995
29,frozenset({'ZINC METAL HEART DECORATION'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.04587350354910478,0.07071723699544444,0.010329484055514355,0.2251732101616628,3.1841347276643224,1.0,0.007085436633220951,1.1993425823575934,0.7189224277831873,0.09720837487537388,0.1662098763855595,0.18562031294599995
30,frozenset({'BAKING SET 9 PIECE RETROSPOT '}),frozenset({'BAKING SET SPACEBOY DESIGN'}),0.044972984426316344,0.022460006356605573,0.010700286047250767,0.23792697290930506,10.5933617796742,1.0,0.009690192531160179,1.282737951473326,0.9482467465782576,0.18860877684407096,0.22041754603781624,0.35717103362446384
31,frozenset({'BAKING SET SPACEBOY DESIGN'}),frozenset({'BAKING SET 9 PIECE RETROSPOT '}),0.022460006356605573,0.044972984426316344,0.010700286047250767,0.4764150943396226,10.5933617796742,1.0,0.009690192531160179,1.8240155612758642,0.9264083989411188,0.18860877684407096,0.45175906322832077,0.35717103362446384
32,frozenset({'BAKING SET 9 PIECE RETROSPOT '}),frozenset({'RETRO SPOT TEA SET CERAMIC 11 PC '}),0.044972984426316344,0.03602076491153724,0.011018116325881979,0.24499411071849236,6.801468856093675,1.0,0.009398155026491413,1.2767837294697424,0.8931401118710454,0.15745647236941712,0.2167819992385811,0.2754382318298344
33,frozenset({'RETRO SPOT TEA SET CERAMIC 11 PC '}),frozenset({'BAKING SET 9 PIECE RETROSPOT '}),0.03602076491153724,0.044972984426316344,0.011018116325881979,0.3058823529411765,6.801468856093675,1.0,0.009398155026491413,1.3758863783688664,0.8848457565074778,0.15745647236941712,0.27319579892526097,0.2754382318298344
34,frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'BATH BUILDING BLOCK WORD'}),0.06849242504502595,0.016950948193664585,0.010223540629303952,0.14926527455529778,8.805718290796598,1.0,0.009062529080707264,1.155529476350538,0.951615911464817,0.1359154929577465,0.13459585370486646,0.3761951372776489
35,frozenset({'BATH BUILDING BLOCK WORD'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.016950948193664585,0.06849242504502595,0.010223540629303952,0.603125,8.805718290796598,1.0,0.009062529080707264,2.3471057006739504,0.9017224810383021,0.1359154929577465,0.5739433466022178,0.3761951372776489
36,frozenset({'GIN + TONIC DIET METAL SIGN'}),frozenset({'BEWARE OF THE CAT METAL SIGN '}),0.045131899565631954,0.02765123424091535,0.010276512342409153,0.2276995305164319,8.23469681434713,1.0,0.009028559615782398,1.2590291009524925,0.9200879371263272,0.16440677966101697,0.20573718332366536,0.299673520047488
37,frozenset({'BEWARE OF THE CAT METAL SIGN '}),frozenset({'GIN + TONIC DIET METAL SIGN'}),0.02765123424091535,0.045131899565631954,0.010276512342409153,0.37164750957854403,8.23469681434713,1.0,0.009028559615782398,1.5196376476425004,0.9035468051121799,0.16440677966101697,0.3419483904262595,0.299673520047488
38,frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'}),frozenset({'PINK 3 PIECE MINI DOTS CUTLERY SET'}),0.021135713528975527,0.019864392414450684,0.013136984850090051,0.6215538847117794,31.289851294903926,1.0,0.012717136742591067,2.5898947511697625,0.9889427667675076,0.47148288973384034,0.6138839234496553,0.6414436090225564
39,frozenset({'PINK 3 PIECE MINI DOTS CUTLERY SET'}),frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'}),0.019864392414450684,0.021135713528975527,0.013136984850090051,0.6613333333333333,31.289851294903926,1.0,0.012717136742591067,2.890347302571923,0.9876600220016633,0.47148288973384034,0.6540208164222451,0.6414436090225564
40,frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'}),frozenset({'RED 3 PIECE MINI DOTS CUTLERY SET'}),0.021135713528975527,0.022301091217289966,0.013772645407352473,0.6516290726817042,29.219604831556325,1.0,0.01330129593200028,2.8064882345633184,0.9866295212444894,0.4642857142857143,0.6436828105372061,0.634603134915674
41,frozenset({'RED 3 PIECE MINI DOTS CUTLERY SET'}),frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'}),0.022301091217289966,0.021135713528975527,0.013772645407352473,0.6175771971496437,29.219604831556325,1.0,0.01330129593200028,2.559638910585722,0.9878055438628662,0.4642857142857143,0.6093198943552667,0.634603134915674
42,frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),0.019917364127555886,0.01922873185718826,0.010329484055514355,0.5186170212765957,26.970942500439598,1.0,0.009946498401403603,2.037403297357443,0.9824917056783882,0.3584558823529412,0.5091791589338144,0.5279035519606119
43,frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),0.01922873185718826,0.019917364127555886,0.010329484055514355,0.5371900826446281,26.970942500439598,1.0,0.009946498401403603,2.1176785525101023,0.981801865431355,0.3584558823529412,0.5277848005710349,0.5279035519606119
44,frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),0.0173747218985062,0.019917364127555886,0.010011653776883145,0.5762195121951219,28.93051050856253,1.0,0.009665595114215579,2.3127129824903716,0.9825051697827979,0.3669902912621359,0.5676073911587672,0.5394395433316035
45,frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),0.019917364127555886,0.0173747218985062,0.010011653776883145,0.5026595744680852,28.930510508562534,1.0,0.009665595114215579,1.9757599174661056,0.9850540968257971,0.3669902912621359,0.4938656305557149,0.5394395433316035
46,frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),0.019917364127555886,0.018963873291662253,0.01017056891619875,0.5106382978723404,26.926898847022464,1.0,0.009792858546579882,2.004725998056168,0.9824298274060462,0.35424354243542433,0.5011787142135011,0.5234755735171758
47,frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),0.018963873291662253,0.019917364127555886,0.01017056891619875,0.5363128491620112,26.926898847022464,1.0,0.009792858546579882,2.1136721906164757,0.98147498200144,0.35424354243542433,0.5268897398378796,0.5234755735171758
48,frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'WHITE SPOT BLUE CERAMIC DRAWER KNOB'}),0.019917364127555886,0.019705477275135077,0.011388918317618391,0.5718085106382979,29.017744795241363,1.0,0.010996437151422248,2.2893834816431626,0.9851601209674377,0.40337711069418386,0.5632011814454656,0.5748827499428049
49,frozenset({'WHITE SPOT BLUE CERAMIC DRAWER KNOB'}),frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),0.019705477275135077,0.019917364127555886,0.011388918317618391,0.5779569892473119,29.017744795241363,1.0,0.010996437151422248,2.3222340162073203,0.9849471824348608,0.40337711069418386,0.569380177440858,0.5748827499428049
50,frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),0.0173747218985062,0.01922873185718826,0.010011653776883145,0.5762195121951219,29.966589397298932,1.0,0.009677559908403553,2.3143379564808795,0.9837213879262396,0.37649402390438247,0.5679109884536598,0.5484403346099577
51,frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),0.01922873185718826,0.0173747218985062,0.010011653776883145,0.5206611570247934,29.966589397298932,1.0,0.009677559908403553,2.0499596319013924,0.9855809746709018,0.37649402390438247,0.5121855160277116,0.5484403346099577
52,frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),0.018963873291662253,0.01922873185718826,0.011971607161775612,0.6312849162011174,32.830293796266375,1.0,0.011606955927276544,2.6599705605691413,0.9882819816892524,0.4565656565656566,0.6240559896324437,0.6269372239407791
53,frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),0.01922873185718826,0.018963873291662253,0.011971607161775612,0.6225895316804408,32.830293796266375,1.0,0.011606955927276544,2.599387693395085,0.9885488685328088,0.4565656565656566,0.6152940161481297,0.6269372239407791
54,frozenset({'CERAMIC STRAWBERRY CAKE MONEY BANK'}),frozenset({'CERAMIC CHERRY CAKE MONEY BANK'}),0.025532365716707278,0.01769255217713741,0.010700286047250767,0.41908713692946054,23.68720649986334,1.0,0.01024855333460217,1.6909721066093562,0.9828783269716405,0.3289902280130293,0.408624189546719,0.5119387780455686
55,frozenset({'CERAMIC CHERRY CAKE MONEY BANK'}),frozenset({'CERAMIC STRAWBERRY CAKE MONEY BANK'}),0.01769255217713741,0.025532365716707278,0.010700286047250767,0.6047904191616766,23.687206499863343,1.0,0.01024855333460217,2.465698407959241,0.9750339572352403,0.3289902280130293,0.5944353953541058,0.5119387780455686
56,frozenset({'CERAMIC STRAWBERRY CAKE MONEY BANK'}),frozenset({'CERAMIC HEART FAIRY CAKE MONEY BANK'}),0.025532365716707278,0.02118868524208073,0.012289437440406822,0.48132780082987553,22.716265560165976,1.0,0.011748440179749818,1.8871482148532686,0.9810266099826799,0.3569230769230769,0.4700999147129771,0.5306639004149377
57,frozenset({'CERAMIC HEART FAIRY CAKE MONEY BANK'}),frozenset({'CERAMIC STRAWBERRY CAKE MONEY BANK'}),0.02118868524208073,0.025532365716707278,0.012289437440406822,0.58,22.716265560165972,1.0,0.011748440179749818,2.32016103400784,0.9766730986709263,0.3569230769230769,0.5689954337899543,0.5306639004149377
58,frozenset({'CERAMIC HEART FAIRY CAKE MONEY BANK'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.02118868524208073,0.0817353533213264,0.010382455768619557,0.49,5.994957874270901,1.0,0.008650591093943715,1.8005189150562226,0.8512295923889633,0.11219232970807098,0.4446045572541102,0.3085126377187297
59,frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'CERAMIC HEART FAIRY CAKE MONEY BANK'}),0.0817353533213264,0.02118868524208073,0.010382455768619557,0.1270252754374595,5.994957874270901,1.0,0.008650591093943715,1.121236717647713,0.9073562392941026,0.11219232970807098,0.10812767343372445,0.3085126377187297
60,frozenset({'CERAMIC STRAWBERRY CAKE MONEY BANK'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.025532365716707278,0.0817353533213264,0.012819154571458841,0.5020746887966805,6.142686957293412,1.0,0.01073225763847445,1.844181498746336,0.859140686351147,0.13572630398205274,0.457754022215387,0.3294560093367719
61,frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'CERAMIC STRAWBERRY CAKE MONEY BANK'}),0.0817353533213264,0.025532365716707278,0.012819154571458841,0.15683732987686327,6.142686957293413,1.0,0.01073225763847445,1.155729100460508,0.911724953338085,0.13572630398205274,0.13474533123588958,0.3294560093367719
62,frozenset({'CERAMIC STRAWBERRY CAKE MONEY BANK'}),frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),0.025532365716707278,0.050693929441678144,0.010011653776883145,0.39211618257261416,7.7349731396089965,1.0,0.008717317830761264,1.5616570853553282,0.8935310298650155,0.15120000000000003,0.3596545558063618,0.2948041727910093
63,frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),frozenset({'CERAMIC STRAWBERRY CAKE MONEY BANK'}),0.050693929441678144,0.025532365716707278,0.010011653776883145,0.1974921630094044,7.7349731396089965,1.0,0.008717317830761264,1.2142780286576969,0.9172142640141078,0.15120000000000003,0.17646537580406263,0.2948041727910093
64,frozenset({'CHARLIE + LOLA RED HOT WATER BOTTLE'}),frozenset({'CHARLIE+LOLA PINK HOT WATER BOTTLE'}),0.01891090157855705,0.019281703570293462,0.011706748596249603,0.6190476190476191,32.10544217687075,1.0,0.01134211419776487,2.57438552812798,0.9875276712920469,0.442,0.6115577915297047,0.6130952380952381
65,frozenset({'CHARLIE+LOLA PINK HOT WATER BOTTLE'}),frozenset({'CHARLIE + LOLA RED HOT WATER BOTTLE'}),0.019281703570293462,0.01891090157855705,0.011706748596249603,0.6071428571428572,32.10544217687075,1.0,0.01134211419776487,2.4973177050727644,0.9879010478556767,0.442,0.5995703718558857,0.6130952380952381
66,frozenset({'HOT WATER BOTTLE I AM SO POORLY'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.02007627926687149,0.04735671151605043,0.012766182858353639,0.6358839050131927,13.427535077001178,1.0,0.011815436292796742,2.616317437213166,0.9444879716499199,0.23352713178294573,0.617783382942563,0.4527294245423905
67,frozenset({'CHOCOLATE HOT WATER BOTTLE'}),frozenset({'HOT WATER BOTTLE I AM SO POORLY'}),0.04735671151605043,0.02007627926687149,0.012766182858353639,0.2695749440715884,13.427535077001176,1.0,0.011815436292796742,1.3415801015856308,0.9715348636316653,0.23352713178294573,0.2546102921338151,0.4527294245423905
68,frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.050693929441678144,0.04735671151605043,0.024208072889077233,0.477533960292581,10.08376521521627,1.0,0.021807375096892664,1.8233592541582795,0.9489359878396517,0.32783357245337164,0.45156172722438526,0.4943598213096015
69,frozenset({'CHOCOLATE HOT WATER BOTTLE'}),frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'}),0.04735671151605043,0.050693929441678144,0.024208072889077233,0.511185682326622,10.08376521521627,1.0,0.021807375096892664,1.9420586432016929,0.9456117570103647,0.32783357245337164,0.4850824904280994,0.4943598213096015
70,frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.03252463184659392,0.04735671151605043,0.010382455768619557,0.3192182410423453,6.740718069795744,1.0,0.008842196161094662,1.3993372706438876,0.880278589753904,0.14939024390243902,0.28537599835394767,0.2692288073220675
71,frozenset({'CHOCOLATE HOT WATER BOTTLE'}),frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),0.04735671151605043,0.03252463184659392,0.010382455768619557,0.21923937360178972,6.740718069795744,1.0,0.008842196161094662,1.2391446692394628,0.893983994843489,0.14939024390243902,0.1929917266127128,0.2692288073220675
72,frozenset({'RED WOOLLY HOTTIE WHITE HEART.'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.04105307765653141,0.04735671151605043,0.010965144612776777,0.2670967741935484,5.640103918597099,1.0,0.009021005857350403,1.2998213883363747,0.8579184969742384,0.14158686730506154,0.23066352887154173,0.2493201991773111
73,frozenset({'CHOCOLATE HOT WATER BOTTLE'}),frozenset({'RED WOOLLY HOTTIE WHITE HEART.'}),0.04735671151605043,0.04105307765653141,0.010965144612776777,0.23154362416107382,5.640103918597099,1.0,0.009021005857350403,1.2478872613901903,0.8635953375625355,0.14158686730506154,0.19864555802423642,0.2493201991773111
74,frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.05032312744994173,0.04735671151605043,0.0174806653247166,0.34736842105263155,7.33514659131049,1.0,0.015097527495484271,1.4596953613866968,0.9094357226887346,0.21796565389696163,0.3149255478554036,0.35824796891557753
75,frozenset({'CHOCOLATE HOT WATER BOTTLE'}),frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),0.04735671151605043,0.05032312744994173,0.0174806653247166,0.36912751677852346,7.33514659131049,1.0,0.015097527495484271,1.505338872446369,0.9066038498867681,0.21796565389696163,0.33569774998577456,0.35824796891557753
76,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.16972136878906663,0.04735671151605043,0.014673164530140904,0.08645443196004994,1.8256004100020389,1.0,0.006635718630287871,1.0427977780329942,0.5446786027033663,0.07249411148913897,0.04104130152034157,0.19814891620373862
77,frozenset({'CHOCOLATE HOT WATER BOTTLE'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.04735671151605043,0.16972136878906663,0.014673164530140904,0.3098434004474273,1.825600410002039,1.0,0.006635718630287871,1.2030293295017414,0.4747159930367307,0.07249411148913897,0.1687650704125643,0.19814891620373862
78,frozenset({'GIN + TONIC DIET METAL SIGN'}),frozenset({'CHOCOLATE THIS WAY METAL SIGN'}),0.045131899565631954,0.026062082847759297,0.010700286047250767,0.23708920187793425,9.097093400511469,1.0,0.009524054741694515,1.2766078544826291,0.932144218527034,0.17688266199649735,0.21667409730510406,0.32382915378449556
79,frozenset({'CHOCOLATE THIS WAY METAL SIGN'}),frozenset({'GIN + TONIC DIET METAL SIGN'}),0.026062082847759297,0.045131899565631954,0.010700286047250767,0.41056910569105687,9.097093400511469,1.0,0.009524054741694515,1.6199831221162382,0.9138927272472706,0.17688266199649735,0.38270961817573346,0.32382915378449556
80,frozenset({'HAND OVER THE CHOCOLATE   SIGN '}),frozenset({'CHOCOLATE THIS WAY METAL SIGN'}),0.04174170992689904,0.026062082847759297,0.011071088038987181,0.2652284263959391,10.176793157525482,1.0,0.009983212136665202,1.3254975452780062,0.9410168720459373,0.19514472455648926,0.2455663131460099,0.34501258718170935
81,frozenset({'CHOCOLATE THIS WAY METAL SIGN'}),frozenset({'HAND OVER THE CHOCOLATE   SIGN '}),0.026062082847759297,0.04174170992689904,0.011071088038987181,0.4247967479674797,10.176793157525484,1.0,0.009983212136665202,1.6659472746147197,0.9258672476509848,0.19514472455648926,0.39974090702764414,0.34501258718170935
82,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'CHOCOLATE THIS WAY METAL SIGN'}),0.16972136878906663,0.026062082847759297,0.010276512342409153,0.060549313358302125,2.3232722308496494,1.0,0.005853219967993389,1.0367099955334815,0.6860017706123082,0.05539691604797258,0.035410091242142255,0.2274291282238665
83,frozenset({'CHOCOLATE THIS WAY METAL SIGN'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.026062082847759297,0.16972136878906663,0.010276512342409153,0.3943089430894309,2.3232722308496494,1.0,0.005853219967993389,1.3707955924690578,0.5848140842258959,0.05539691604797258,0.27049663312761746,0.2274291282238665
